ItemID,Sentiment,SentimentText,,,
3001,0, i really don't want to go to school,,,
3002,0, I really liked Max.  He was one of my favorites #SYTYCD,,,
3003,0, I really miss you. you don't understand how much you really mean to me.,,,
3004,0, i really want to go to the katy perry concertt.,,,
3005,0, I really wanted her to win lol. I kinda guessed Diversity were gonna to win anyway. ,,,
3006,0, i really wanted to meet you and the wonder girls. good luck! is there any way i can try out to be part of your company? it's my dream!,,,
3007,1," i rocked summerrs Dot Dot Curve  shirt, pinstriped skinnys, Chuck hightops, 3D glasses, 200 yen necklace",,,
3008,0, i run all out of people. oh well that was a pretty successful hunt haha ;D now i need a bunch of people to add me so i have more victims.,,,
3009,1, I SAID IT! i like him teehheee,,,
3010,0, i so dont have enough icon space on lj.,,,
3011,0, i so dont know what im doing on here its all so new,,,
3012,0," I spent my sunday arvo, with a bottom feeding vulture, stuck up lawyer chick, gawd there the lowest of scum",,,
3013,0, i start working 2morrow..there goes 6weeks of my summer,,,
3014,0, i still cant get twitter on my phone it wont even take my number when i try to set it up  ,,,
3015,0, i still get teary eyed when i see p.s. i love you,,,
3016,0, i think he's cheating on me...will post story on @061004     T_T,,,
3017,0, my show today at Tavern on the Green 4 Make Music NY is canceled due to rain... growl!!,,,
3018,0, my sis left twilight at her fiances! boo! k thunderstorm waterfall it is. goodnight,,,
3019,0, MY SON'S NOW IN COLOMBIA UNTIL AUGUST. I WONT SEE HIM TIL THEN. I MISS MY CHU CHU! BUT IM NOT GOING TO IRAQ!! YESSSSS!!!,,,
3020,0, my thumb skin hurts coz its not there,,,
3021,0, My thumbs hurt from cutting pappper.,,,
3022,0, My tummy hurts. ,,,
3023,0, my tummy hurtsssss.,,,
3024,0, my tummy really hurts now oh noes,,,
3025,0," My turtle food! Its starving. ;( Im sorry, turtles. ;( I promise i buy tmr. ;(",,,
3026,0, my tv died ~Tim~,,,
3027,1, My video is almost uploaded!,,,
3028,0, my video's being weird #ChuckMeMondays #chuck!!,,,
3029,0, My wrists&amp;arms hurt.,,,
3030,0, Need for speed High stakes doesn't work with compatibility mode on. DAAMN YOU EA FOR MAKING A GOOD GAME THATS TO GOOD TO BE TRUUUEE,,,
3031,0," net  won't work, might aswell go to sleep.",,,
3032,0, never again ,,,
3033,0, Never waking up late again missed an awesome dress T3T,,,
3034,0,"- new haircut, it's shorter ",,,
3035,0, new moon trailer not as awesome as I hoped...,,,
3036,0, new sandals were damaged in great fall yesterday...,,,
3037,1, nice song..http://bit.ly/iCMV2,,,
3038,0, NICK BRAUN'S TWITTER IS BEING BLOCKED!!!!!! I LOVE HIM!!!!!!!!!!!!!!!!!! THIS SUCKS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,,
3039,0, no &quot;the postal service&quot; on twitter.....,,,
3040,0, no 1 follow me,,,
3041,0, No Baseball Today (:  I Hate the Rain!!  It is May right?,,,
3042,0, no B-ball 2day Gyms getting fixed,,,
3043,0, no body will talk 2 me.     *cries*,,,
3044,0, no bonfire but maybe Venice Beach with Steph or comedy club with Sean,,,
3045,0, no chance...,,,
3046,0, no dishwasher,,,
3047,0, no job at target or party city. plan c. does anyone know how to make money without having to apply somewhere?,,,
3048,0," no MMS on 2G iPhone!  Why does Apple say its a hardware limit when jailbroken iphones can, even my T68i from 2002 did it",,,
3049,0, no more arrested development. i am sad.,,,
3050,0, no naptime... being dragged to dinner. sigh! sleep sounds so good...,,,
3051,0, no new anime releases tonight that I watch.,,,
3052,0, no new svu for 3 months or so. *sniffs* I'm going to be so bored.,,,
3053,0, No one is updatinggggggg /cry,,,
3054,0," no one responded to my meetup for breakfast this morning at Carls Jr on 2nd, oh well, I'll still go myself, only closer to 7:30.",,,
3055,0, no one stays up as late as I do...,,,
3056,0, No one to have dinner with...,,,
3057,0, no ones talkin to me  my baby boyfriend is asleep D;D; im sad,,,
3058,0," no Otalia today, but yeahhhhhhhhhh tomorrow",,,
3059,0," no phone call, no text, nothing....12:30",,,
3060,0, no room for standby flight. Now I gotta be here for 4 more hours.,,,
3061,0," no swimming today, it's raining. Guess I'll get some reading done today, going to barnes and nobel for new books.",,,
3062,0, no they are not.. stupid changes! Why they did last year and not this year?,,,
3063,0, no transformers today! my ride stood me up can u believe this crap,,,
3064,0," no work or school, because my ears are leaking",,,
3065,0,=-- I think I broke the heater,,,
3066,1, i think i finally figured out how to twitter on my phone!,,,
3067,0, I think I have a cavity...,,,
3068,0, I think I pulled a nerve in my back putting together a shelf for bd. Would that be neuralgia?,,,
3069,0, i think i'm going to be sick,,,
3070,1, I think it would be fun,,,
3071,0, i think i've killed my laptop,,,
3072,0, I think people get out of bed in the mornings wondering how they can piss me off.,,,
3073,1, I thought it would be like.. 2pm by now.,,,
3074,0, i thought we might see real @GregGutfeld tattoos. #redeye,,,
3075,0, i told my dad I love him this morning and he just said bye.,,,
3076,0," I took the blame for everything that happened the other night. part bc I don't want any1 in trouble, part bc idk the other peoples names!",,,
3077,0, I wake up to something I did not want to read.,,,
3078,0, I wanna be at Encounter  blah.,,,
3079,0, i wanna go 2 sleep but i cant tear myself away from #bb10,,,
3080,0, I wanna go home,,,
3081,0, I wanna go to the apple store and get a free ipod from ryan leslie!,,,
3082,0, I Wanna Play Dodgeball ,,,
3083,0, i wanna play scattergories at jean grae's. left outttt.,,,
3084,1," i wanna write some reviews of films &amp; music releases, so i go &amp; leave this place. Not for a long time of course.:]",,,
3085,0, i want  my  mcfly  album  back ,,,
3086,0, i want a fob tee!,,,
3087,0, i want a happy day,,,
3088,0, I want a hug now ..,,,
3089,0, I want a regular day,,,
3090,0, I want all my friends back.,,,
3091,0, I want it BACK NOW!: http://bit.ly/PP1WZ,,,
3092,0," I want kisses, too.",,,
3093,0, I want LinesVines and trying times now ,,,
3094,0, i want some change! Hos!,,,
3095,1,- I want The Sims 3 soooo bad!!! ,,,
3096,0, I want to go on facebook. I can feel the notifications piling up. I don't like it. Shit.,,,
3097,0, I want to puke... . They have stolen my blood :�-(,,,
3098,0," I wanted the shiny shiny FA Cup. Berba can go away now, yesyes.",,,
3099,0, I wanted to go cinema......,,,
3100,0, i wanted to win but its allll good lol,,,
3101,0, I was more interested in good python port for .net rather than java re: http://ff.im/396jG,,,
3102,0, I was suppose to be mentality prepared for this but can't help it get to me,,,
3103,0, I went to the store. I woke up early and everything. THEY DIDN'T HAVE IT YET! OMG! I am so beyond pissed right now..,,,
3104,0, i wish @ruebluestar192 was online right now so I could talk to him before I have to leave.. *hint hint*,,,
3105,0, I wish he would talk to me and have a real conversation.,,,
3106,0," I wish I could do somthing amazing. no tallent that i know of. apart from Lame jokes, &amp; my dolphine noise. I'll let u know when i find it",,,
3107,0, I wish I could forget ...,,,
3108,1, i wish i had my tablet pen :c...,,,
3109,0, i wish i lived in atlanta,,,
3110,0, I wish I wasn't on my way to work right now!,,,
3111,0," I WISH MY BESTIEBYTCH WAS HERE AND NOT DEAD LEAVING ME ALL ALONE RIP AMIEE I HELLA MISS HER, SHE WAS THAT 1 PERSON WHO INDERSTOOD ALL",,,
3112,0, i wish my bf realized how great i was,,,
3113,0, i wish my mom didn't cancel cable!!,,,
3114,0, i wish someone was here to watch this movie with me. sucks watching titanic alone. haha depresing!,,,
3115,0, i offically dnt like eyeliner. Ughhh im so hungry !!!,,,
3116,0, i only 45 min lunch break today... stupid dead filing,,,
3117,0, I really don't even know what todo.,,,
3118,0, I really don't like my new haircut... It's too short.,,,
3119,0, i really need a hug,,,
3120,1, i really wanna watch the david cook and archuleta concert!!) sooo HOTT!,,,
3121,0, I sad right now ,,,
3122,1, I said I get a SUMMER flu not the swine flu    But now bilions of swineflu tweeters are following me ,,,
3123,1,"- i sang early tonight, one song...'twas fun. ",,,
3124,1, I see you babes! follow my boy @RealTalk24  @MsMariaG @BUTTERSCOTCHBRE @cheeksgreatbarz,,,
3125,0, I seem to have lost 2 followers today! Should I take that personally am I really that boring???,,,
3126,0, i seriously hate this assignment. sigh. and i got no mood to do other assignments also coz i'm worrying too much abt this one!! grrr!,,,
3127,1," I shine through my smile, someone said. I'm just Jamba-ing!!",,,
3128,0," i shouldn't even bother watching the mmva's, it's only gonna piss me off.",,,
3129,0," i so wish my head would sort itself out, god i hate being 15 sometimes! ",,,
3130,0, I spoke too soon.,,,
3131,0, I STILL CAN'T MAKE VIDEOS ,,,
3132,1, I think I did good in the math test! I need to write nao...34 655 words!,,,
3133,0, I think I have the handwriting of a little kid. Probably because I type so much and write so little. http://twitpic.com/7ijsv,,,
3134,0, I think I'm developing an anger problem,,,
3135,0, I think I'm getting sicker everyday.,,,
3136,0, I think I'm getting that stomach virus going around....nooooooo.,,,
3137,0, I think I'm starting to get sick... piglet flu?,,,
3138,0, I think imma have 2 take my dog 2 the vet.... ,,,
3139,0, I think the price of my skating lessons has gone up from £48 to £60!!  Won't be doing that this term then!,,,
3140,0, I think waayy to much,,,
3141,0, I thought I had kicked the insomnia bucket after doing so well and actually getting to bed before midnight the past few nights.,,,
3142,0,"- I thought I'd seen everything, until I saw EVERYTHING before my own eyes last night! I mean it, it really does break my heart sometimes ",,,
3143,0, i thought the hills would be an hour long,,,
3144,1, I try t remind myself often that even the smallest input  can produce   big results  http://tinyurl.com/2mn6vl  ,,,
3145,0, i try to fix things and all it does is make it worse. What else do i do.,,,
3146,0,"- I wake up, shower, eat...and go back to bed. I'm so tired all the time ",,,
3147,0, I wana be home but jbiz is gay  he's gay,,,
3148,0, I wanna curl up in a ball todayyy. Pack tonight. I leave day after tomorrow. This is NUTS.,,,
3149,0, I wanna get crunk with randoms again. Just not as bad. Lol,,,
3150,0, I wanna go home :0 fuck myself,,,
3151,0, I wanna pick up my Jimmy Choo shades. Post Offices should reeeeeeeally be open on Sun!,,,
3152,0, i wanna recieve his messages 2 do it for me get on mine bed him and chit and put that i can get his shit you know my email and the pa ...,,,
3153,0, i wanna record new material,,,
3154,0, I wanna use my swimsuit!!! ,,,
3155,0, I wanna watch transformers; Revenge of the fallen.. aw man. Seems soo good !,,,
3156,0, i want a house,,,
3157,0, Noone I know is on Twitter!!!,,,
3158,0, noone wants to talk to me  lol,,,
3159,0," not even one single reply.what are people look for nowadays? anyway, changed my hosting to GDI, also attended the webinar, not bad...",,,
3160,0, not feelin well,,,
3161,0, Not feeling good. But on the plus side im wii-fit ;),,,
3162,0,=- not feeling very well at all today,,,
3163,0,=-- not feeling well,,,
3164,0, not happy,,,
3165,1, not now is on tv!,,,
3166,0, Not very well.,,,
3167,0, nothing,,,
3168,1," Nothing left to do but sit back, relax, have fun, and enjoy the ride! Lmbo. XD",,,
3169,0, nothing to do alll dayyyyyyy.,,,
3170,0, nothing with Lalalauren_ 1weikert 2hale 3.study 4morello 5hartley 6cardona 7lunch 8shongut,,,
3171,1, notsugripp http://www.kivisaar.com/itblog/04/2009/898/notsugripp.html via @addthis,,,
3172,0, now I have only 39 followers,,,
3173,0,- Now my ex-daycare clients claim that I owe them over $400 and are going to take things to the &quot;next step&quot;. ,,,
3174,0," now that i kno is a lie, whateva :'(",,,
3175,0, nuffin more eckkky that i cant take beside being disrespect is :O being ignore...blahhhhhhh,,,
3176,0, nuggets out....,,,
3177,0, Nuu supa stop that its not good fer your health,,,
3178,0, nvm not double didgets someone on my followers was bad so i had to block them  sorry person,,,
3179,1, o seara perfekta: vodka &amp; bertolucci (the dreamers),,,
3180,0, odd i tried to call mitchel musso but it dosent work.... ,,,
3181,0," Of all the things I lost, I miss my Community Organizer degree the most.",,,
3182,0, Off from work and no wifey...,,,
3183,1,-- off to Kokomo to see if I can squeeze into this dress! Then shoe shopping with my seeester! And visiting my Brandice! ,,,
3184,0," oh dears, @Rainbow__Bright.  I'm so sorry to hear that.",,,
3185,0, Oh great need to tidy my fucking room ,,,
3186,0, oh I miss it,,,
3187,0, Oh Lebron. Sex and the City will cure my sadness temporarily.,,,
3188,1, Oh man When you make Fishhes you end up fishy.,,,
3189,0, oh nooo crying time..this part of the movie is so sad,,,
3190,0, ohh I need to sleeep but I can't uhhhh :@,,,
3191,1, ok good im not the only one.. This weather makes me SO HAPPY!,,,
3192,0, ok i miss u too soph ,,,
3193,0," ok so I overreacted. My bad, I was in the wrong shit happens. Just wanna talk to you.",,,
3194,1,"- Ok, how about just pray for mental clarity while drumming today since &quot;enough sleep&quot; didn't happen...  Have .. http://bit.ly/HskKD",,,
3195,0, okay have a good evening everybody.,,,
3196,0, okay. Imy,,,
3197,1, omfg! 7:30. ekkkkk! im so excited to see paramore! im only going cause paramore is going to be there. (: and this is my birthday present!,,,
3198,1," on a big boat bobbing up and down on the Thames, sun shinning, the aroma of our lunch filling the restaurant and a beer on it's way ",,,
3199,0, on the sad boat again why do I let shit like this happen,,,
3200,0, on the way to work ...  didn'T noe that i have work today .... ,,,
3201,0, one down. Two to get this shit right. ... Kenny any minute now.,,,
3202,1, one happy man right here people ,,,
3203,0, One little boy with ants in his pants and his shirt and his hair - Angry Ants - Lots,,,
3204,0, I wish things were different,,,
3205,0, i woke up to a migraine/my sinuses acting up! Nooo..,,,
3206,1, I work at 1030 u?,,,
3207,0," I work at 930 the morning after crank mob. ill have to cut this one short too, total bummer",,,
3208,0, I work until 945. I'm unhappy about that. Whatev. Avett bros is tomorrow night.,,,
3209,0, I would LOVE to ride the superman right now...,,,
3210,0, I. am. so. sorry.,,,
3211,1, I´m cold!!! Today is 12°C here....,,,
3212,0, i´m soo sad .. i want somebody to love me to be a real gentalmen not like my last boyfriend i´mm soo sadd ... (L),,,
3213,0, Ian Crawford isn't with The Cab anymorrrrrrrree,,,
3214,0, I'D RATHER BE IN THE  BAHAMAS!,,,
3215,0, idk if i should have said that,,,
3216,0, idk what else to do,,,
3217,0, ih had 110 followers and now ih hav 99 heyyy twitter,,,
3218,0, I'll miss this year so much. I love high school. Jamal is so freaking LUCKY! He gets 2 go drinking w/ Rob! I can't even drink at all! ,,,
3219,0," ill, so now school. you'd think i'd be happy because of that ",,,
3220,1, IM A LITTLE SPOILED BRAT !  DONT HATE ME FOR HACKING YOU SISTA &gt;33,,,
3221,0, I'm a silly girl.,,,
3222,0, I'm all alone on ere peeps! Talk to meeee x http://myloc.me/484V,,,
3223,0, i'm all alone on twitter!!,,,
3224,0, I'm all finished listening... I'm sorta considering giving it another play though. I might have missed a joke or two after all.,,,
3225,1, Im am going to send some twits to some folk...............,,,
3226,1, I'm awake! it's amazin,,,
3227,0, I'm being threat'ned to attend bw3 tonight!,,,
3228,0, i'm bored ! w/e everything is gonna b fun later in da day ! bye bye world till later,,,
3229,1, im bored anyone wanna talk,,,
3230,0, im bumped cause he cant go.,,,
3231,1, I'm chill. He's the one freaking out.,,,
3232,1,- i'm confused with this twitter lark ,,,
3233,0, I'm finally home...but sad that AE is over....I MISS EVERYONE ;__;,,,
3234,0, Im gna hate today. I already know.,,,
3235,0, im goin' to sleep or watch tv . loveeupeople♥,,,
3236,1, I'm going to play with my camera today,,,
3237,1, I'm gonna have some ramen and play a FF game... haven't decided which yet.,,,
3238,0, i'm gonna watch horton again with mum &amp; clo for some laughs.,,,
3239,0, I'm having a homework fail right now. I wish I could stop time.,,,
3240,0," I'm having a shitty night too, ihope you feel better @StevenRayMorris",,,
3241,0, im in a good mood despite the fact my lunch is being taken over by uni shittee!! Will have to do some after the View!!  bad times!,,,
3242,1," I'm in a great mood, but ... I feel a little guilty Q_Q xD",,,
3243,1," I'm in garden, chillin'",,,
3244,0,- I'm in the boring bank. Some bloke has just asked about a cheque he 'sented' oh the joy of modern English. ,,,
3245,0, Im in trouble for leaving the heater on all night,,,
3246,0, Im Just Plain Pathetic ,,,
3247,0, Im like this right now http://twitpic.com/7zn9v,,,
3248,0, Im more than a pair of legs. I have a great sense of humor and I'm filled with tons of random trivia. So y won't anyone hang out with me?,,,
3249,0, I'm not buying this dress cos its 30 dollars. But my hearts seriously gonna ache for days after it.,,,
3250,1, I'm not cold!,,,
3251,0," i want a iphone now lol, getting a tad bit jealous stupid 10 Month left on my Tmobile contract rawrrrr lol",,,